AUTHOR,TOTAL BOOKS,BOOK TITLES
"Aggarwal, M.L.",12,"Hindi: Perfect sample papers- Course B , SA-1, Term-1,Hindi: Perfect sample papers- Course B , SA-1, Term-1,Learning Mathematics, class 9,Mathematics : Perfect sample papers, SA-1, Term-1,Mathematics: Hints&  solutions,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics:value base questions,Science : Perfect sample papers, SA-1, Term-1,Science : Perfect sample papers, SA-1, Term-1"
"Aggarwal, N K",2,"Great Fun With Grammar,Great Fun with Grammar"
"Aggarwal, R N, Simmy and Sofat, R",1,Mathematics Lab Kit : Includes Formative Tools
"Aggarwal, R S",6,"Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics"
"Aggarwal, R S and Aggarwal, V",3,"Secondary  school Mathematics, 9th standard,Secondary School Mathematics,Secondary school Mathematics,10th standard"
"Aggarwal, R. S.",5,"Mathematics,Mathematics 7,Mathematics 8,Senior secondary school mathematics: class 10,Senior secondary school mathematics: class 11"
"Aggarwal, R.S.",11,"Composite mathematics,Composite mathematics,Composite mathematics,Composite mathematics,Composite mathematics,Mathematics,Mathematics,Mathematics,Secondary school mathematics,Secondary school mathematics,Senior secondary school mathematics"
"Aggarwal, Subhash",1,Together with Economics with solution: support material for CBSE examination 2016
"Aggarwal, V B",2,"Digest 6,Learning Computer"
"Aggarwal, V B,",1,Learning Computers
"Aggarwal, V K and Thakur, S",2,"Bravia best resoursed audio visual integrated assignment: English : Reading, writing, grammar,Bravia best resoursed audio visual integrated assignment: English : Reading, writing, grammar"
"Aggarwal, V P and Maheshwari, S C",1,Laboratory Manual Biology
"Aggarwal, V.K.",2,"Bravia literature companion,Bravia literature Companion"
"Aggarwala, N K",14,"Elementary English Grammar and composition,Elementary English Grammar and composition,Elementary English Grammar and composition,Elementary English Grammar and composition,Elementary English Grammar and composition,Elementary English Grammar and composition,Elementary English Grammar and composition,Elementary English Grammar and composition,Fun with Grammar,Great Fun With Grammar,Great Fun with Grammar,Great Fun WIth Grammar,Great Fun with Grammar,Great Fun With Grammar"
"Aggarwala, N.K.",7,"Fun with Grammar,Great fun with grammar,Great fun with grammar,Great fun with grammar,Great fun with Grammar,Great fun with Grammar,Grreat fun with grammar"
"Aggrarwal, M.L.",2,"Learning mathematics,Learning mathematics"
"Aggrarwal, Rupashi",1,Start up maths lab activity
"Agnihotri, R. K.",2,"Kites,Kites"
"Agrawal, M",2,"What?s what Book of General Knowledge: Life Skill & Brain Teasers,What''s what book For General knowledge: life skill & brain-teasrs"
"Agrawal, M.",3,"What''s what : General Knowlrdge life skill & Brain Teasers,What''s what book of General : Life skills & Brain- teachers,What''s What GK. : Life skill & Brain Teachers"
"Agrawal, V K",1,Numericals in Physics
"Agte, R v",3,"Golden Mathematics,Mathematics,Mathematics"
"Ahuja, G",1,Life span 7
"Ahuja, Govida",2,"Learnwell general knowledge,Learnwell general knowledge"
"Ahuja, H and Naithani, R M",4,"New Speed Mathematics,New Speed Mathematics,New Speed Mathematics,New Speed Mathematics"
"Ahuja, H L",1,Introduction to Microeconomics Theory
"Ahuja, H, Jain J and Kaur, M",1,Earthworks  Environmental Studies
"Akhileshwaran, P",1,Interactive Grammar : English Enrichment
"Akhileswaran, P",2,"Interactive Grammar: English Enrichment Exercises,Interactive Grammar: English Enrichment Exercises"
"Akhileswaran, P.",2,"Intaractive Grammer : English Enrichment Exercises,Interactive Grammar : English Enrichment Exercises"
"Alamelu, K",10,"Maths Ahead,Maths Ahead 3rd edition,Maths Ahead 5,Maths Ahead 5,Maths Lab Activities,Success with Maths Ahead,Success with maths ahed, class 1,Success with maths ahed, class 2,Success with maths ahed, class 3,Success with maths ahed, class 4"
"Alamelu, K.",6,"Maths lab Activities,MathsAhead,MathsAhead,MathsAhead,Success with MathsAhead,Success with MathsAhead"
"Alcott, L M",3,"Little Women,Little Women,Little Women"
"Alcott,Louisa May",1,Little women:Immortal illustrated classics
"Ali, Moi.",1,Successful manager''s handbook
"Allen, R.",1,Active Grammar Practice book
"Allen,R",7,"Active Grammar,Active Grammar,Active Grammar,Active Grammar,Active Grammar,Active Grammar,Active Grammar"
"Alsola, l",1,"My big book of Comprehension with practice of the four language skills: Listening , Speaking, Reading Writing"
"Ameen, MA",1,Computer  Made Friendly
Amish,4,"Sita : warrior of mithila,The immortals of Meluha :the shiva trilogy book 1,The secret of the nagas:the shiva trilogy :book 2,War of Lanka"
Anand Paro,1,School stories
Anand renu,10,"The english connection 5,The english connection 8,The english cruise,The english cruise : coursebook 5,The english cruise : literature reader 5,The english cruise : literature reader 6,The english cruise :coursebook 6,The english cruise :coursebook 7,The english cruise :coursebook 7,The english cruise:course book 8"
"Anand, A",5,"Chemistry,Practical Skills in Biology,Science in Lab,Science Practical,Science Practical"
"Anand, M",3,"Empowering  Environment Studies: Work book,Empowering Environmental Studies,Empowering Environmental Studies"
"Anand, R and Kaul, N",2,"Communicative English,Oxford Communicative english"
"Anand, S",6,"General Knowledge,General Knowledge,Go Grammar,Learnwell Environmental Studies,Value for Life,Values For Life"
"Anand, S C",2,"Systematics Mathematics,Systematics Mathematics"
"Anand, S.",4,"Harmony : A book on Social Studies,Social Studies the fun way,Values For Education,Values for life"
Anand. A,1,Science in Lab
Anand.Shraddha,1,Good to know
"Anantapadmanbhan, N.",1,Frank World Geography
"Andrabi, A A",2,"Fast Track: The Next Generation Computer Series,Fastract: The next Generation computer series"
"Andrabi, AA",1,Fastrack: The new Generation Computer Series
"Andrew, Christina and Ramesh,  Sujata",3,"Maths refresher,Maths refresher,Maths refresher"
"Andrew,C.",1,New Blossom Composite Mathematics
"Anil, Leena Kaimal",10,"Suceess with Buzzword: Communicative English for Schools, class 1,Suceess with Buzzword: Communicative English for Schools, class 2,Suceess with Buzzword: Communicative English for Schools, class 3,Suceess with Buzzword: Communicative English for Schools, class 4,Suceess with Buzzword: Communicative English for Schools, class 4,Suceess with Buzzword: Communicative English for Schools: teacher resource pack, class 1,Suceess with Buzzword: Communicative English for Schools: teacher resource pack, class 2,Suceess with Buzzword: Communicative English for Schools: teacher resource pack, class 3,Suceess with Buzzword: Communicative English for Schools: teacher resource pack, class 4,Suceess with Buzzword: Communicative English for Schools: teacher resource pack, class 4"
"Anil, LK",1,Suceess with Buzzword: Communicative English for Schools
Anne Frank,1,The Diary of A young Girl
Antoine De Saint exupery,1,Little Prince
Anuradha,3,"Amrit : pathmala 5,New longman vistas 7,Vyakarn Latika"
"Arathoon , A.",1,The joy of Social Studies
"Arathoon, A and Roy A",2,"The Joy Of Social Studies,The Joy Of Social Studies"
"Arathoon, A.",1,The joy of Social Studies
Archana,4,"General Knowledge 3,Schlar Book of General Knowledge,Wow ! Science 7,Wow! science 6"
"Archana, Madhuri",1,Scholar Book Of General knowledge
Archana.,2,"Scholar Book of general knowledge,Wow! science 8"
Archer Jeffrey,12,"Be careful what you wish for,Cat O' nine tales,Cometh the hour,False Impression,First among equals,Heads you win,Honour among Thieves,Mightier than the sword,Not a penny more , not a penny less,Only time will tell,Paths of glory,The prodigal daughter"
Arihant,2,"12 years'' CBSE AIPMT solved papers 2014-2003,CBSE AIPMT Physics: 27 years'' chepterwise solution"
"Arjun, S, Singh, K and Mathew, A",2,"Social Sciences,Social Sciences"
Arnold Nick,5,"Blood,bones and body bits,Chemical chaos,Evil Inventions,Evil inventions,Horrible science :disgusting digestion"
"Aroor, U",2,"The Hound of the Baskervilles: Arthur convan Doyle,White Dove: Value education, Peace Studies and Life Skill"
"Aroor, U , Bannerjee, K and Pintoo, A",1,"White Dove: Value Education, Peace studies and life skills"
"Aroor, U.",1,White Dove
Arora Savita,2,"Examguru English communicative 10,Examguru English communicative 10"
"Arora, A",1,Moving Ahead with General Knowledge
"Arora, Ashok",9,"Viva doc com: foundation of information technology , class 10,Viva doc com: foundation of information technology , class 9,Viva dot com: computer science and information technology: class 3,Viva dot com: computer science and information technology: class 3,Viva dot com: computer science and information technology: class 4,Viva dot com: computer science and information technology: class 4,Viva dot com: computer science and information technology: class 5,Viva dot com: computer science and information technology: class 6,Viva dot com: computer science and information technology: class 6"
"Arora, Ashok; Verma, Sarika",4,"Viva dot com: computer science and information technology, teachers resource pack: class 3,Viva dot com: computer science and information technology, teachers resource pack: class 4,Viva dot com: computer science and information technology, teachers resource pack: class 5,Viva dot com: computer science and information technology, teachers resource pack: class 6"
"Arora, B B and sabharwal, A K",1,ABC of Science and Technology: Biology
"Arora, B. B.; Sabharwal, A. K.",4,"Modern''s abc of biology: part 1, class 11,Modern''s abc of biology: part 1, class 12,Modern''s abc of biology: part 2, class 11,Modern''s abc of biology: part 2, class 12"
"Arora, D.B; Sabharwal, A.K.",2,"Modern''s abc biology, Part 1,Modern''s abc biology, Part 1"
"Arora, H and rai, V",1,Drawn of a new : Vibrant India
"Arora, Harsh; Minhas, Davinder Singh",1,My bits and bytes; computer series
"Arora, K",3,"100% success sample Question papers Accountancy,Magic with Computers,Magic with Computers"
"Arora, M",1,Exam Mantra Sample Question papers Social Science
"Arora, manish",1,"Universal''s guide to L.L.B,23rd ed."
"Arora, N",2,"Me "" n"" Mine Social science,Me "" n"" Mine Social science term 1, class 9"
"Arora, O P , Bandari, V  k",1,Refresher course inMathematics
"Arora, O P , Bandari, V K and Singh, A P",1,Super Simplified Mathematics
"Arora, O P and Bhandari, V K",7,"Refresher course inMathematics,Super Simplified mathematics,Super Simplified mathematics,Super Simplified Mathematics,Super Simplified Mathematics,Super Simplified mathematics,Super Simplified mathematics"
"Arora, O P and Singh, A p",2,"Summative Assessment test papers in Mathematics,Summative Assessment test papers in Mathematics"
"Arora, O P, and Bhandari, V K",1,Super Simplified mathematics
"Arora, O P, Singh, A P and Bhandari, V K",3,"Super Simplified mathematics,Super Simplified mathematics,Super Simplified mathematics"
"Arora, O. P., et all",3,"Super simplified mathematics term 1, class 9,Super simplified mathematics term 2, class 9,Super simplified mathematics: open text-based assessment 2015-2016, class 9"
"Arora, O. P.; Bhandari, V. K.",2,"Super simplified mathematics: term 1, class 10,Super simplified mathematics: term 2, class 10"
"Arora, O.P, Bhandari, V K and Singh, A P",1,Super Simplified Mathematics
"Arora, O.P; Singh A.P. And Bhandari, V.K.",3,"Super satisfied mathematics, term-1,Super satisfied mathematics, term-2,Super satisfied mathematics, term-2"
"Arora, O.P.",1,"Super simplified Mathematics term 2, class 9"
"Arora, R",2,"Pearls 6,Practicle Book in Mathematics"
"Arora, R. L.; Arora, S. L.",10,"Mathematics 10 vol. 1,Mathematics 10 vol. 2,Mathematics 10 Volume 1,Mathematics 10 Volume 2,Mathematics 9 vol. 2,Mathematics 9 vol.1,Mathematics 9 Volume 1,Mathematics 9 Volume 2,Mathematics: vol 1, class 10,Mathematics: vol 2, class 10"
"Arora, S",11,"Computer Science with C ++ , Vol.2,Computer Science with C ++, Vol.1,Computer science with python 12,Computer with C++, Vol. 1,Computer with C++, Vol. 2,Foundation of Information technology,Foundation of Information technology,Foundation of Information technology,Foundation of Information Technology,Foundation of Information Technology,The Hound of the Baskervilles: Arthur convan Doyle"
"Arora, S.L.",5,"Move fast with physics 11,Move fast with Physics, class 11,New simplified physics vol 1,New siplified Physics vol 1, class 12,New siplified Physics vol 2, class 12"
"Arora, Sangeeta",2,"CBSE Term 2 Mathematics (standard)10,examguru mathematics prepare, practice, perform, class 10"
"Arora, Savita",1,"examguru english communicative: prepare, practice, perform, class 10"
"Arora, Sumita",20,"Computer science with C++ 11th Standard,Computer science with python 11,Computer Science with Python 12,Computer science with Python 12,Computer science with python practical book 11,Computer scinece with C++,Foundation of Information technology,Foundation of Information technology,Foundation of Information Technology 9,Foundation of Information technology, class 10,Foundation of Information technology, class 10,Foundation of information technology: openoffice.org, class 9,Information Technology 10,Information Technology 9,Information Technology 9,move fast with Computer Science with C++, class 12,Progress in computer science with python 12,Progress in Computer Science with Python practical book , class 11,Progress in computer science with python practical book 12,Progress in Computer Science with Python text book , class 11"
"Arora, Sunita",3,"Number magic: a textbook of mathematics, class 1,Number magic: a textbook of mathematics, class 2,Number magic: a textbook of mathematics, class 5"
"Arora, V",2,"Super Simplified Foundation of Information Technology,Super Simplified Foundation of Information Technology"
"Arora, V, Sachdeva, A and Sarana, S",1,Me ''n'' Mine Science
"Arora, Vikas",4,"Computer magic,Computer magic,Computer magic,Computer magic"
"Arora,Preeti",2,"Computer science with python,Textbook of Computer science with C++, Class 12"
"Arror, U., Bannerjee, k and Pinto, A",1,"White Dove: Value education, Peace studies. Life Skills"
"Aruna, M.",1,Joy of Engligh : A Course in literature
Arundhati Roy,2,"The doctor and the saint,The God of small things"
"Arya, R R",2,"Buzzword: Communicative English for Schools,Success with Buzzword : Communicative English For Schools"
"Arya, R. R.",1,My big book of Comprehension
"Arya,Rekha Rashmi",1,Successs with buzzword
"Aryar, R R",1,Buzzword: Communicative English for Schools
"Ash,  Russell",1,Top ten of everything
Asimov Isaac,2,"Gold the final science collection,The complete series volume 2"
Aslan Reza,1,God: a human history of religion
"Athaiya, Madhur",7,"Makrand : pathyapustak 6,Roli hindi pathmala: class 3,Roli hindi pathmala: class 4,Roli hindi pathmala: class 5,Roli hindi pathmala: class 6,Roli hindi pathmala: class 7,Roli hindi pathmala: class 8"
Aulakh Brinder,4,"Real english :coursebook 1,Real english :coursebook 2,Real english :coursebook 2,Real english :coursebook 2"
"Aulakh, B",2,"Real English: A multiskill Language Course,Real English: A multiskill Language Course"
"Aulakh, B.",1,Real english : A multi - skill language course
"Austen, J",1,Emma
"Austen, Jane",5,"Emma,Emma:Immortal illustrated classics,Northanger Abbey,Sense and Sensibility,Sense and sensibility: :Immortal illustrated classics"
"Austn, Jane",1,Pride and Prejudice:Immortal illustrated classics
"Bahadur, A , Puri, S and Sreetilak, S",7,"Every English Grammar and Composition,Every English Grammar and Composition,Everyday English Grammar 7,Everyday English Grammar 7,Everyday English Grammar 7,Everyday English Grammar and Composition,Everyday English Grammar And Composition"
"Bahadur, A.,Puri, S and Sreetilak, S",3,"Everyday English Grammar and Composition,Everyday English Grammar and Composition,Everyday English Grammar and Composition"
"Bahadur, Anita; Puri, Surinder; S. Sreetilak",6,"Everyday english grammar and composition: class 6,Everyday english grammar and composition: class 6,Everyday english grammar and composition: class 7,Everyday english grammar and composition: class 7,Everyday english grammar and composition: class 8,Everyday english grammar and composition: class 8"
"Bahadur, P.",1,"Numerical Chemistry, for JEE"
"Bahuguna, R",7,"Indian economic development 12,Introductory macro economics12,Introductory Macroeconomics,Introductory Macroeconomics,Introductory Micro economics 11,Introductory micro economics 11,Statistics for economics 11"
"Bahugunas, S",1,Social Studies
"Baig, M. Jawed",2,"Learning Sciece: Physics, class 10,Learning Sciece: Physics, class 9"
"Bajaj, N K",1,Science
"Bajaj, N K?et al",1,Science
"Bajpal, S",1,Wonder world of English
"Bakhandi, S.",1,EarthWorks Environmental Studies
"Bakshi, A R",5,"Maths World,Maths World,Maths World,Maths World,Maths World 5"
"Bakshi, Alka Ratti",1,Maths world
"Bakshi,S and Nathan, S S",13,"English Junction Coursebook,English Junction Coursebook,English Junction Coursebook,English Junction Coursebook,English Junction Literature Reader,English Junction Literature Reader,English Junction Literature Reader,english Junction Literature Reader,English Junction Workbook,English Junction Workbook,English Junction Workbook,English Junction: A communicative course in english,New english junction 8"
"Balakrishnan, P V",1,The Science Times
"Balasnbramaniam, S",1,Life and works of India''s firs prime minister: Jawaharlal Nehru
"Balasubramaniam, G",1,A Beautiful Life
"Balasubramanian, B and Mirza, L",1,Steps to Science
"Balasubramanian, B.",2,"Frank Primary Science,Step to Science"
"Balasubramanian, G.",2,"A Beautiful Life : Value Education & Life Skill,A Beautiful life Value Education & Life Skill"
"Balasubramanian, P and Ushabala, A",1,Social Studies
"Balasubramanian, P.",3,"Active Social Studies,English Ferry :coursebook 6,English ferry 6"
"Balasubramanian, Prema",6,"English Grammar,Grammar Way,Grammar Way,Learn english grammar skill with thrills: class 1,Learn english grammar skill with thrills: class 2,Learn english grammar skill with thrills: class 3"
"Banerjee Champa ,Jindal Neha, Datta Chandrani",4,"Science,Science,Scorewell in Science 10,Scorewell in Science 10"
"Banerjee, B",1,Networks : English across the curriculum
"Banerjee, C.",1,Junior World
"Banga, Poonam",2,"Hindi workbook, term-1,Hindi workbook, term,2"
"Bannerjee, A.",5,"Focus on Social Studies,Frolic Grammar 6,The magic carpet : cooursebook,The magic carpet :coursebook 5,The magic carpet :coursebook 6"
"Bansal, Mini",5,"Brain up with mathematics,Brain up with mathematics,Brain up with mathematics,Mathematics workbook : Practice material 6,Mathematics workbook cum-practice material 7"
"Bansal, Mini Vijay",4,"Computer live,Computer live,Computer live,Computer live"
"Bansal, S K",4,"Empowering mental maths 7,Innovative Social Studies : An Environmental approach,Innovative Social Studies : An Environmental approach,Innovative Social Studies : An Environmental approach"
"Bansal, S. K.",2,"Innovative Social Studies,Innovative Social Studies"
"Bansal, S.K.",1,Innovative  social studies
"Bansal, SK and Jain A",1,Innovative Social Studies: An Environment approach
"Bansal,R.K.",1,New era mathematics: class 9
"Bansal,Rashmi",4,"Chhu lo Aasman,God's own kitchen,Poor little rich slum,Shine Bright"
"Bariya, Dharampal",1,Arebian nights
"Barker, I",1,Cambridge Express: English for Schools
"Baroliya, E",2,"Moral studies path of Living,Moral Studies the Path of Living"
"Baroliya, E.",1,Moral Studies : Path of living
Barot,1,English Grammar & Composition
"Barot, A",1,English Grammar and Composition
Basu Kavita,2,"Scorewell in Hindi course B 10,Scorewell in Hindi course B 10"
"Basu, J",1,"Footprints: Our past, planet, and society"
"Basu, J and Chakravarty, S",1,"Footprints: Our past, planet, and society"
"Basu, Siddhartha",5,"Know for sure,Know for sure 3,Know for sure 4,Know for sure 4,Know for sure 4"
"Batia, P.",1,Nature my teacher
"Batra , S.K.; Kulshreshtha, Rajdeep",1,Toghether with mathematics
Batra Alka,6,"New voices :coursebook 5,Voices: coursebook 4,Voices: coursebook 4,Voices: coursebook 5,Voices: coursebook 5,Voices: coursebook 5"
"Batra, A",5,"Voices: A multi skill course in english,Voices: A multi skill course in english,Voices: A multi skill course in english,Voices: A multi skill course in english,Voices: A multi skill course in english"
"Batra, A and Punj, V",2,"Science lab Manual,Science: Lab Manual"
"Batra, S",4,"ABC of science : Physics,ABC of Science: Physics,ABC of Science: Physics,ABC of Science: Physics"
"Batra, S K",2,"Mathematics with solution : Based on latest syllabus,Together with Mathematics with solution Term-2"
"Batra, S K and Kulshreshtha, R",1,Together with Mathematics
"Batra, S.K.",5,"Comprehensive mathematics,Together with Mathematis with solution, term 2 ,Class 10,Together with Mathematis with solution, term 2 ,Class 10,Together with Mathematis with solution, term 2 ,Class 9,Together with Mathematis with solution, term 2 ,Class 9"
"Bean, J",2,"Grammar Club,Grammar Club"
"Bedadur, Nivedita",5,"English channel: literature reader,English channel: literature reader,English channel: practice book,The English Channel Coursebook,The English Channel Practice Book"
"Beddoe, A.",1,Living Values
"Berry, D",2,"Flashback: A book of General Knowledge,Flashback: A book of General Knowledge"
"Bhagat, Chetan",10,"2 States,India positive,Making India Awesome : new essays and columns,Making India Awesome :new essays & columns,One night at call center,Revolution 20-20,Revolution 2020,The 3 mistakes of my life,Two states,What young India wants"
"Bhagat, K",2,"Virtuees Values: A book of Moral values,Virtues Values: A Book of Moral Values"
"Bhagat, K.",2,"Virtues Values : A book of moral values,Virtues Values : A book of moral Values"
"Bhanagarwala, T.",1,Grammar & Composition
"Bhandari, B D",1,Moral Science
"Bhandari, D.",2,"Ultimate in GK,Ultimate in GK"
"Bhandari, Deepa",3,"Take of with computers windows 7 and office 2010: class 1,Take of with computers windows 7 and office 2010: class 2,Take of with computers windows 7 and office 2010: class 2"
"Bhandari,N.S.",3,"Sample papers : Physics,Together with Physics with solution: support material for CBSE examination 2016,Together with Physics: support material for CBSE examination 2016"
"Bhanot, D P",10,"Communicate English course,Communicative english 6,Communicative english 8,Communicative English course,Communicative English Course,Communicative English Course,English 7,English Grammar and Composition,English Grammar and Composition,Learnwell English 7"
"Bhanot, D P and Sangar, S",17,"Communicate English course,Communicate English course : Embodying A major advance in the Teaching of english,Communicative English course,Communicative English course,Communicative English course,English Grammar & Composition,English Grammar & Composition,Enhancing communicative skills through english grammar,Enhancing communicative skills through english grammar,Enhancing communicative skills through english grammar,Enhancing communicative skills through english grammar,Enhancing communicative skills through english grammar,Enhancing Communicative Skills through English Grammar,Enhancing Communicative skills through English Grammar,Score well Communicative english,Score well Communicative english,Score well Communicative english"
"Bhanot, D. P.",10,"ABC of Social Studies,ABC of Social Studies,ABC of Social Studies,Communicative English,Communicative English,English Grammar,Enhancing Communicate skill through English Grammar,Enhancing Communicate skill through English Grammar,Learnwell Communicative english,Social Studies"
"Bhanot, D. P.; Sangar, Shailja",4,"Newlernwell communicative english: main coursebook, class 1,Newlernwell communicative english: main coursebook, class 2,Newlernwell communicative english: main coursebook, class 5,Newlernwell communicative english: main coursebook, class 8"
"Bhanot, D.P and Sangar, S",2,"Communicative English Course Main Course,Communicative in English"
"Bhanot, D.P.",4,"Sample papers solved: English communicative, SA term-1,Sample papers solved: English communicative, SA term-2,Sample papers solved: English Core,Sample papers Solved: English, term-2"
"Bhanot, D.P. and Sangar, S",2,"ABC of Social Studies,Communicative English Course"
"Bhanot, DP and Sangar, S",4,"ABC of Social Studies,ABC of Social Studies,ABC of Social Studies,Learnwell Communicative English"
"Bhansali, J",1,Knowledge Ahead General knowledge
"Bhansali, J.",1,Knoledge Ahead GK.
"Bhansali, J., sinha, A and Purang R",5,"Knowledge Ahead : General Knowledge,Knowledge Ahead : General Knowledge,Knowledge Ahead : General Knowledge,Knowledge Ahead : General Knowledge,Knowledge Ahead : General Knowledge"
"Bharati, A",5,"Mind express 4,Mind express 8,Mind xpress 3,Mind Xpress, answer key class 6 - 8,Mind Xpress, class 8"
"Bhardwaj, Shreesh",1,Rapid revision in chemistry
"Bhargava, B K and Sethi, V",2,"General knowledge 3,Indian Economic Development"
"Bhargava, R, Singh, R and Navani, V",1,Kites Reader
"Bhartiya, R",1,Empowering Mental Math
"Bhashanjaly, S",5,"ABC of Value Education,ABC of Value Education,ABC of Value Education,ABC of Value Education,ABC of Value Education"
"Bhashanjaly, S.",4,"ABC of Value Education,Value Education,Value Education,Value Education"
"Bhashanjaly, Shaily",3,"Value education,Value education,Value education"
Bhasin Veena,3,"Navrang Saral hindi : pathmala 6,Scorewell in English Communicative 10,Scorewell in English Communicative 10"
"Bhat, R L",6," ABC of Social Science: Geography,ABC of Geographical ATLAS,ABC of Social sciences,ABC of Social Sciences,ABC of Social Sciences,ABC of Social sciences"
"Bhat, R L, Mishra, P and Kumar, A",2,"ABC of Social Sciences: Political Sciences and economics,ABC of Social Sciences: Political Sciences and economics"
"Bhat, U.",2,"Maths Practice Book with mental mathematics,practice Ewith mental Mathematics"
"Bhat, V.V.",1,Step by Step Grammar
"Bhat,U and Malik, M",1,Maths Practice Book with Mental Mathematics
"Bhatia, K N and Mishra, C S",9,"Biology : super simplified science,Biology 10,Biology 9,Biology: super simplified science,Super Simplified Science Biology,Super simplified science Biology,Super Simplified Science Biology,Super Simplified Science Biology,Super simplified science biology 9"
