PUBLISHER,TOTAL BOOKS,BOOK TITLES
Alka Publication,1,World famous personality
All India Educational Testing Service,3,"Science,Science,Social Science"
Allied Chamers Ltd.,3,"Junior School Dictionary,Junior School Dictionary,Junior School Dictionary"
"Allied Publishers Pvt, Ltd.",33,"Advanced Rediant Readers,Advanced Rediant Readers,Advanced Rediant Readers,Advanced Rediant Readers,CCE wonders of Science,CCE wonders of Science,Computer  wizard,Computer wizard,Computer wizard,Computer wizard,Computer wizard,Core Mathematics,Core Mathematics,Core Mathematics,Facts for Fun : General knowledge,Geography,Grammar World: Bringing the world into grammar class,Green Meadows,Green Meadows English Reader,GREEN MEADOWS ENGLISH READER,GREEN MEADOWS English Reader,Green Meadows English Reader,Living Values,Mel Jol Explorers,New Primary Science,New Radiant Core Mathematics,New Rediant Science: An Integrated Approach,Our Wonderful World of Social Studies,Our Wonderful World of Social Studies,Our Wonderful World of Social Studies,Rediant Readers,Rediant Readers,Understanding History & Civics"
Amanda Imprient,5,"Connect with Grammar and Composition,Grammar and Composition,Interactice science 8,Interactive science 7,Shakshi hindi pathmala 6"
Amanda Imprint,7,"Academic Science,Activities in Mathematics,Grammar and Composition,Grammar and Composition,Multiple choice Questions in Science,Multiple choice Questions in Social Science,Science Term 1"
Amanda Imprint & Laxmi Publications,5,"Connect with Grammar,Connect With Grammar And Composition,Connect With Grammar And Composition,Map work Social Science,Sakshi : pathmala 5"
Amar Chitra Katha,199," Jagadis chandra bose,3 in 1 Champions of change,3 in 1 Maratha bravehearts,3 in 1 Tales from the desert,3 in 1 The sons of the pandavas,3 in 1 Vishnu the saviour,A nation awakes: the march to freedom,Abhimanyu: star crossed prince,Agastya: Renowned among the saptarshi,Akbar : a visionary monarch,Amar singh Rathor: of Rajput pride and honour,Anant Pai:master storyteller,Andhaka: the dark lord who saw light,Angulimala: the bandit who took refuge in Buddha,Aruni and uttanka: tales of devotion and reward,Ashoka and Chandragupta:2 in 1 mega stories,Ashoka: the warrior who spoke of peace,Ashwini kumars: tales of devotion from the Veda,Bagha Jatin :the tiger  revolutionary,Bahubali: he gave up his empire to learn the truth,Baji Rao 1: the warrior peshwa,Banda Bahadur: a valliant sikh warrior,Beni madho and pir ali: heroes of 1857,Bhagat singh: the cheerful young martyr,Bhagatsinh and Chandra Shekhar Azad,Bheem and Hanuman :the sons of vayu,the wind god,Bimbisara: model king of Magadha,Birbal the clever : tales of b"
Amazing reads,1,Think and grow rich
Amit Prakashan,41,"Brain Game 3,Brain Game 4,Brain Game 5,Brain game 6,Brain Game 7,Brain Game 8,Brain Game General Knowledge & I.Q. Test,Communicative English Activity,Essential of mathematics,Essential of mathematics,Essentials of mathematics,Essentials of mathematics,Gyan-vatika : pathyapustak 5,Gyan-vatika : pathyapustak 5,Joy of Arithmetic,Learn english Grammar,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Computer,Learning Science and Technology,Live and let live,My Big book od social Studies,My book of Social Studies,My Book of Social Studies,My book of Social Studies,My book of Social studies,My book of Social studies,My book of social studies: class 5,Our Environmen Environmental Studies,Our Environment,Our Environment:  Environment Studies,Science and technology,Science and Technplogy,The Japanese Art of Paper Folding Folding Touch : With Colour Sheet"
Amity University Press,42,"Amrit : pathmala 5,Amrit : pathmala 6,Amrit Hindi Pathyapustak,Amrut hindi pathmala,Amrut hindi pathmala,Amrut hindi pathmala 3,Amrut hindi pathmala: class 1,Amrut hindi pathmala: class 2,Amrut hindi pathmala: class 3,Amrut hindi pathmala: class 4,Amrut hindi pathmala: class 5,Amrut hindi pathmala: class 6,Amrut hindi pathmala: class 7,Amrut hindi pathmala: class 8,Cinderella,English Grammar,English Grammar,English Grammar 7,English Worksheet,English Worksheets,Grow with numbers 5,Grow with values 7,Grow with values 8,Grow with values 8,Grow with words : coursebook 8,Learn english grammar skill with thrills: class 1,Learn english grammar skill with thrills: class 2,Learn english grammar skill with thrills: class 3,Live and let live,Live and let live 1,Live and let live 2,Live and let live 3,Live and let live 3,Live and let live 4,Live and let live 4,Live and let live 4,Live and let live 5,Mathematics 6,Mathematics 7,Mathematics 8,Wonderful numbers 5,Wonderful words :english coursebook"
Amruta Prakashan,7,"Pallav hindi pathypustak: class 2,Pallav hindi pathypustak: class 3,Pallav hindi pathypustak: class 4,Pallav hindi pathypustak: class 5,Pallav hindi pathypustak: class 6,Pallav hindi pathypustak: class 7,Pallav hindi pathypustak: class 8"
Anderson press ltd,2,"The pets you get !,Who's in the Loo ?"
Anzella publication (a product of ACE ppublishing),10,"Dimensions :a textbook of social studies 7,Dimesions : a textbook of social studies 6,Essence of grammar 6,Essence of grammar 7,Essence of grammar 8,Growing minds 6,Growing minds 7,Understanding Mathematics  6,Understanding Mathematics 7,Understanding Mathematics 8"
Arihant,12,"10 sample question paper cbse exam 2016: sanskrit, term 2, class 10,15 Sample papers english communicative,15 sample papers Mathematics,15 sample question papers science,15 Sample question papers science class 10,15 Sample question papers social science class 10,All in one social science,All in one social science,All in one Social science  term -1,General Knowedge 2018,General Knowledge 2018,NTSE"
Arihant Prakashan,53,"10 sample question papers english communicative: term 2, class 9,10 sample question papers foundation of information technology: term 2, class 9,10 sample question papers mathematics: term 2, class 9,10 sample question papers science: term 2, class 9,10 sample question papers social science: term 2, class 9,15 sample question papers in Accountancy, class 12,37 years chapterwise topicwise solved paper 2015 IIT JEE  |Mathematics,Algebra,All in one : Mathematics,All in one Hindi B, Term 1,All in one: complete study resource  in English core, class 12,Business Studies,Canterville ghost,Canterville ghost,CBSE chapterwise solved paepers 2008-2015: Chemistry, class 12,CBSE chapterwise solved paepers 2008-2015: Mathematics, class 12,CBSE chapterwise solved paepers 2008-2015: Physics, class 12,Complete sucess package for online BITSAT 2013,Coordinate geometry,Diary of a young girl,Diary of a young girl,Term, 1 &-2,Differential calculus,Differential calculus,Essential physical chemistry,Gullver''s Travels,Integral Calc"
"Arihant Prakashan ,",11,"12 years'' CBSE AIPMT solved papers 2014-2003,CBSE AIPMT Physics: 27 years'' chepterwise solution,CBSE chapterwise solution biology,CBSE chapterwise solution chemistry,CBSE chapterwise solution mathematics,CBSE chapterwise solution physics,Chemistry: question Bank Class 12,Master resource book in chemistry JEE main,Mathematics for engineering entrance 2014-2003,New patter physics: master practice book for JEE main and advanced,Physics: question Bank Class 12"
Arihant Publication,4,"All in one social science, term2,Chapterwise solved paper in Computer Science,General Knowledge 2017,General Knowledge 2017"
Arrow books,16,"A case of need,Airframe,Carry on jeeves,Jurassic Park,Leave it to Psmith,Mind Quest 3,Mind Quest 5,Piccadilly Jim,The code of the woosters,The right path 1,The right path 7,The wit and wisdom of P.S.Wodehouse,Think beyond 7,Think beyond life skills 8,Timeline,Uncle fred in springtime"
Arrow Publication Pvt. Ltd.,41,"Active Grammar,Active Grammar,Active Grammar,Active Grammar,Active Grammar,Active Mathematics,Active Social Studies,Arrow Environmental Studies,Arrow Mouse : The computer book,ENGLISH CONVERSATION FOR YOU,English conversation for you,English conversation for you,English conversation for you,English conversation for you,Environmental Studies,Grammar treasure 6,Grammar Treasure 8,I can ! 1,I can! value education 5,Maths World,Maths World,Maths World,Maths World,Maths World 5,Mind Quest 4,Mind quest 6,Mouse : The computer book,Mouse The Computer Book,Mouse: The Computer Book,Mouse: The Computer book,Mouse: The Computer Book,Mr. Know All : General Knowledge,Mr. Know All GK.,Mr. Know All GK.,Perfect Grammar for effective Communication,Perfect Grammar For Effective Communication,Social Studies,The right path,The right path 3,Think beyond 1,Think beyond 10"
Arrow Publications Pvt. Ltd.,14,"English conversation for you,English conversation for you,English conversation for you,English conversation for you,Grammar treasure 7,Maths world,Mind quest 7,Panorama: skill based approach to english language learning, class 1,Panorama: skill based approach to english language learning, class 2,Panorama: skill based approach to english language learning, workbook, class 1,Panorama: skill based approach to english language learning, workbook, class 2,Panorama: skill based approach to english language learning, workbook, class 4,Perfect Grammar For Effective Communication,Perfect Grammar For Effective Communication"
Arya Book Depot,144,"ABD''S Accountancy,ABD''S Accountancy,ABD's Accountancy Financial Accounting II,ABD's Accountancy financial vol 1   11,ABD's Accountancy vol 1,ABD's Bull's eye business studies 12 term1,ABD'S Interactive English,ABD's Questions for Revision in Mathematics 11,Accontancy,Accountancy,Accountancy : Accountiong for not profit organisations partnership firms and companies,Accountancy 12 part -A vol-1,Accountancy 12 part 1,Accountancy 12 part A vol 2,Accountancy part A 12,Accountancy Part A Vol 2,Accountancy part A volume I,Accountancy part A volume II,Accountancy Part-A Volume-II,Accountancy partA VOL.1,Accountancy vol 2: financial accounting II,Accountancy vol II with Goods and service tax,Accountancy volume 1 financial accounting 1,Accountancy Volume-1 Part-A,Accountancy: Accounting for partnership firms and companies,Accountancy: Accounting for partnership firms and companies,Accountancy:accounting for companiesand not for profit organisations part A,Accounting,Analysis of financial statements,Analysis of financ"
Arya Publicatioin Company,36,"Composite science,Drill excercises in mathematics,Drill excercises in mathematics,Drill excercises in mathematics,Drill excercises in mathematics,Drill excercises in mathematics,Drill excercises in mathematics,Drill exercises in mathematics 5,Indian economic development 12,Indian Economic Development 12,Katha Sangam 5,Laboratory manual mathemetics-Revised according to national carriculam fremework prepared by NCERT,Laboratory manual mathemetics-Revised according to national carriculam fremework prepared by NCERT,Laboratory manual mathemetics-Revised according to national carriculam fremework prepared by NCERT,Macro economics 12,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect compisite mathematics; CCE enalbled including value based questions,Perfect "
Arya Publication,63,"Bright Sparks : A book of General Knowledge,Bright Sparks: A book of General Knowledge,Canterville ghost,Composite Mathematics,Composite Mathematics,Composite Science,Composite Science for us,Composite Social Sciences,Computer,Computer world,Digest English Communicative,Drill Exercises in Mathematics,Drill Exercises in Mathematics,Foundation of Information technology,Gulliver Travels: Jonathan Swift,Gulliver Travels: Jonathan Swift,Gullver''s Travels,Gullver''s Travels: Jonathan swift Term 1-2,History,Invisible man: H.G. Wells,Laboratory Manual Mathematics,Laboratory Manual Mathematics,Laboratory Manual Mathematics,Laboratory manual physics,Laboratory Manual Science,Laboratory Manual Science: Including MCQ to test the Practicle Skills,Learning Mathematics, class 9,Mathematics: Laboratory Manual,MCQ on Practicle skills in Science,Our Social Panorama Social Studies,Resoueces and Development Geography,Sanskrit Sandarshika,Sanskrit Sandarshika,Secondary Biology: first and second,Secondary Biology: first and secon"
Arya Publications,24,"Accountancy 11,Accountancy part A Vol 1,Accountancy part A VOL 2,Accountancy part A vol.1,Analysis of financial statements part B 12,Foundation of information Technology 9,Indian Economic Development 12,Introductory macroeconomics 12,Introductory Micro and Macro economics,Mathematics,Mathematics,Mentor in business studies 11,Perfect 15 sample papers  Mathematics 12,Perfect social science 6,Practice questions in mathematics 7,Social Science 6,Social science 7,Social Science 8,Statistics for economics 11,Suno kahani 2,Suno kahani 3,Suno Kahani 4,Suno Kahani 5,Suno kahaniya 8"
Arya Publishig Company,31,"`Katha Sangam 4,Apna vyakaran 7,Apna vyakaran 8,Business studies,Business studies 12,Business studies 12,Composite mathematics for us,Composite Science for us,Computer Science,Drill Exercises in Mathematics,Katha Sangam 1,Katha Sangam 3,Katha Sangam 3,Katha Sangam 4,Laboratory manual Mathematics,Laboratory manual: Mathematics,Laboratory manual: Mathematics,Laboratory manual: Science,Laboratory manual: Science,Leboratory  Manual Mathematics,Let''s Grow with Composite Mathematics,Our Environment Geography,Our Social Panorama,Perfect Problem solving Assessment,Perfect Problem solving Assessment,Sankalpam 6,Self Help Composite Mathematics,Social and Political Life,Suno Kahani  5,Suno kahani 6,Vyakaran Sopan 9"
Arya Publishing Company,50,"Abhayash pustika rimzim: class 2,Abhayash pustika rimzim: class 4,Abhayash pustika rimzim: class 5,Abhayash pustika ruchira prathamo  bhag: class 6,Abhayash pustika ruchira prathamo  bhag: class 8,Abhayash pustika vasant: class 6,Abhayash pustika vasant: class 7,Abhayash pustika vasant: class 8,Accountancy: accounting for partnership firms, part A, vol 1, class 12,Analysis of financial statements: part B, class 12,Apna vyakaran 6,Business studies: with application, HOTS and evalution based questions including case studies, class 12,Computer applications 9,Drill exercises in mathematics 5,Drill exercises in mathematics: class 6,Drill exercises in mathematics: class 7,Drill exercises in mathematics: class 8,Introductory macroeconomics: including multiple choice and value based questions, class 12,Introductory microeconomics: including multiple choice and value based questions, class 12,Katha Sangam 2,Katha Sangam 5,Laboratory manual mathematics: class 10,Laboratory manual mathematics: class 9,New perfect compos"
Arya Publishing Copany,33,"Accountancy,Accountancy part A : Class 12,Business studies,Business studies,English communicative: Perfect sample papers, SA-1, Term-1,English communicative: Perfect sample papers, SA-1, Term-1,English communicative: Perfect sample papers, SA-1, Term-1,Full Marks Social Science,Hindi  : Perfect sample papers, SA-1, Term-1,Hindi: Perfect sample papers- Course B , SA-1, Term-1,Hindi: Perfect sample papers- Course B , SA-1, Term-1,Hindi: Perfect sample papers- Course B , SA-1, Term-1,Hindi: Perfect sample papers- Course B , SA-1, Term-1,Indian conomic Development,Mathematics : Perfect sample papers, SA-1, Term-1,Mathematics : Perfect sample papers, SA-1, Term-1,Mathematics: Hints&  solutions,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics: Perfect sample papers, SA-1, Term-1,Mathematics:value base questions,Problems & solutiona in accountancy,Science : Perfect sample papers, SA-1, Term-1,Science : Perfe"
Ashlar education consultants pvt ltd,8,"Igniting life 1,Igniting life 2,Igniting Life 3,Igniting life 4,Igniting life 5,Igniting life 6,Igniting life 7,Igniting life 8"
Asia Book House,32,"Advanced computer- how,Advanced computer- how,Advanced computer- how,Advanced computer- how,Begineer''s Social Studies : Introductory,Begineers Computer Science,Beginner''s Computer Science,Beginner''s Mathematics,Beginner''s Social studies,Beginner''s Social Studies,Beginners Computer Science,Beginners Social Studies,Computer Science,Knowledge wave 8,Knowledge waves,Knowledge waves 5,Knowledge waves 6,Knowledge waves 7,Literature reader,Maths refresher,Maths refresher,Maths refresher,New Blossom for the yong,Science refresher,Social science refresher,The torchbearer : a guide to good living 4,The torchbearer 3,The torchbearer 8,Torchbearer: guide to good living,Torchbearer: guide to good living,Torchbearer: guide to good living,Young Explorer"
Asia Book House Educational publishers,9,"Advanced All in one,Beginner''s  Social Studies,English Wizard,Integrated Mathematics,Nature my teacher,New Blossom Composite Mathematics,Social Studies for the young,Young Explorer,Young Scientist"
Avichal Publishing Company,77,"A better you,A Better You : A book on value education and life skills,A Better You : A book on value education and life skills,A Better You : A book on value education and life skills,A better you 1,A better you 2,A better you 3,A better you 4,Accountancy , Part-A,Accountancy , Part-B,Accountancy 11,An Activity based learning process in Science,An Activity based learning process in Science,An Activity Based Learning Process In Science,Basic health and physical education,Basic health and physical education,Basic health and physical education,Basic health and physical education,Business studies,Computer applications 10,Diary of a young girl,Discovery science,English Grammar and Composition,English Grammar and Composition,English Grammar and Composition,English grammar and compositon,English grammar and compositon,English grammar and compositon,Graded English Grammar 7,Graded English Grammar and Composition,Graded English Grammar and Composition,Graded English Grammar and Composition,Graded english grammar and c"
Award publications limited,17,"Aladdin and his wonderful lamp,Bicycle magic and other stories,Famous five go adventuring again,Five on Brexit Island,Hello Mr.Twiddle!,Look out for the elephant and other stories,Secret seven :secret seven win through,Snow White and the seven Dwarfs,The adventures of Mr.Pink whistle,The fairies shoemaker and other stories,The flyaway money and other stories,The Goblin Hat and other stories,The little brown bear and other stories,The little Toy engine and other stories,The ugly old scarecrow and other stories,Those dreadful children,Twelve silver cups and other stories"
Balvinod publication,20,"Fairy Tales,Folk tales of west bengal,Gulliver's travel,Gulliver's travels,Hansel and gretel,Ramayana for children part 1,Ramayana for children part 2,The coward prince,The coward prince,The gita,The magic mare,The magic mare,The magical Lamp,The magical lamp,The magical turtle,The magical turtle,The mystery seven layers,The mystery through  sven layers,The sincere doctor,The sincere doctor"
Bantam press,1,The grand design
Bharti Bhavan publisers & distributors,72,"Basic Science 6,Basic Science 6,Basic science 7,Basic Science 8,Basic Science 8,Basic science 8,Biology,Bright hearts 1,Bright hearts 1,Bright hearts 2,Bright hearts 3,Bright hearts 3,Bright hearts 4,Bright hearts 4,Bright hearts 5,Bright hearts 6,Bright hearts 7,Bright Hearts 8,Foundation science chemistry,Foundation science chemistry 10,Foundation science physics 10,Hands on maths 6,Hands-on maths 7,Hands-on maths 8,Hindi reader 3,Hindi reader 5,History And Civics,History And Civics,History And Civics,Junior knowledge 3,Junior Knowledge 3,Junior Knowledge 5,Junior knowledge 5,Junior maths 5,Junior maths 5,Junior World,Junior world 5,Knowledge +,knowledge +,Knowledge +,Knowledge +,Knowledge +,Knowledge +,Knowledge + 7,knowledge 6,kNOWLEDGE 8,Mathematics 10,Mathematics 10,Mathematics 6,Mathematics 6,Mathematics 6,Mathematics 6,Mathematics 6,Mathematics 7,Mathematics 7,Mathematics 7,Mathematics 8,Mathematics 8,Our World Then And Now,Our world then and now 6,Our world then and now 7,Our world then and now 7,Our"
Bharti Bhavan Publisher,1,"Reactions, rearrangements  and reagents"
Bharti Bhavan Publishers,26,"Core Chemistry, class 12,Foundation science  Biology,Foundation science  Biology,Foundation science  Biology,Foundation Science : chemistry,Foundation Science Biology, 9th standard,Foundation science Chemistry,Foundation science Chemistry,Foundation science Chemistry,  9th standard,Foundation science Physics,Foundation science Physics,Foundation science Physics,Foundation science Physics,  9th standard,Foundation Science: Biology,Junio maths,Junio maths,Junio maths,Junio maths,Junio maths,Mathematics,Mathematics,Mathematics,Modern approach to physical chemistry: application of the concept of equilibrium 1, class 12,Secondary  school Mathematics, 9th standard,Secondary school mathematics,Secondary School Mathematics"
Bharti Bhawan,18,"Concept of Physics 1, class 12,Foundation science  Chemistry,10th standard,Foundation science Biology, 10th standard,Foundation science Physics,10th standard,Hands on Maths,Hands-on Maths,Hands-on Maths,Junior Maths,Mathematics,Mathematics,Mathematics,Mathematics,Maths Steps,Modern approach to chemical calculations: an introducation to the modern concept,My World,Our World then now,Problems plus in IIT Mathematics,Secondary school Mathematics,10th standard"
Bharti Bhawan P & D,8,"Junior Maths, class 3,Junior Maths, class 4,Junior Maths, class 5,Junior Maths: class 2,Senior secondary school mathematics: class 10,Senior secondary school mathematics: class 11,Summore maths practice and activities: class 2,Summore maths practice and activities: class 5"
Bharti Bhawan Publisers & Distributers,6,"Mathematics,class 6,Mathematics,class 6,Mathematics,class 7,Mathematics,class 7,Mathematics,class 7,The magic carpet :coursebook 6"
Bharti Bhawan Publisher & Distributers,31,"Basic science 7,Hands- on Maths,Junior knowledge 4,Junior Maths,Junior Maths,Junior Maths,Junior Maths,Junior Maths,Junior Maths, class 5,Junoor Maths,Math Activity,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics 6,Mathematics 7,Mathematics 7,Mathematics 7,Mathematics 7,Mathematics 8,My World,Our world Then and Now,Our world Then and Now,Our world Then and now,Secondary school mathematics,Senior secondary school mathematics,Summore Maths Practice ans Activities,Summore Maths Practice ans Activities,Summore Maths Practice ans Activities,Summore Maths Practice ans Activities"
Black swan,6,"A walk in the woods,Down under,Neither here nor there :travels in Europe,Notes from a big country,Notes from a Small Island,The lost continent"
Blackie & Son,39,"Grammar 7,The english connection,The english connection 2,The english connection 3,The english connection 5,The english connection 5,The english connection 6,The english connection 7,The english connection 8,The english cruise,The english cruise : coursebook 5,The english cruise : literature reader 5,The english cruise : literature reader 6,The english cruise :coursebook 6,The english cruise :coursebook 7,The english cruise :coursebook 7,The english cruise:course book 8,The Grammar Gate,The Grammar Gate,The Grammar Gate,The grammar Gate  8,The grammar gate 6,The Grammar Gate 7,The Path to  English,The path to English,The path to English,The path to English,The path to English,The path to English,The path to English,The path to English,The path to English,The path to English,The path to English,The Path to English,The Path To English,The Path to English,The Path to English,The Path to English"
Blackie ELT books,4,"The english connection 5,The english connection 8,The Grammar Gate 7,The Grammar Gate 7"
Bloomsbury publishing,11,"Harry Potter and the chamber of secrets,Harry Potter and the deathly hallows,Harry Potter and the Goblet of fire,Harry Potter and the half blood prince,Harry Potter and the order of the phoenix,Harry Potter and the prisoner of Azkaban,Harry Potter:The philosopher's stone,Lulu the big little chick,Netaji Subhash Chandra Bose,Steve jobs: the man who thought different,You can win"
Blue Orchid,12,"Count on tips 7,Navrang : pathmala 5,Navrang : pathmala 5,Reasoning apptitude, class 2,Reasoning apptitude, class 3,Reasoning apptitude, class 4,Reasoning apptitude, class 5,Reasoning apptitude, class 6,Reasoning apptitude, class 7,Reasoning apptitude, class 8,Reasoning aptitude 10,Reasoning aptitude 5"
Blueprint education,18,"English language and literature,English language and literature 10,Mastermind question bank mathematics 10,Mastermind question bank science 9,Mastermind question mind question bank science 10,Mathematics 10,Mathematics 9,Quizcraft 5,Social science 10,Social science 9,Social science 9,Textbook and supplementary reader 9,The Grammar Connect,The grammar connect 6,The Grammar Connect 7,Vyaakran pushp 5,Vyakaran pushp 7,Vyakaran saar 10"
Book Magic India pvt ltd,11,"Magic zeal of life,Magic zeal of life : Moral values and life skills,Magic zeal of life : moral values and life skills  6,Magic zeal of life :moral values & life skills,Magic zeal of life :moral values and life skills 6,Magic zeal of life 1,Magic zeal of life 8,Magic zeal of life:moral values and life skills,Timeline 8,Timeline general knowledge 6,Timeline general knowledge 7"
Book Smith,16,"Abhivyakti hindi pathaypustak,Footsteps: A book of moral values,Footsteps: A book of moral values,Footsteps: A book of moral values,Footsteps: A book of moral values,Footsteps: A book of moral values,Footsteps: A book of moral values,Footsteps: A book of moral values,G.K. Hub,G.K.Hub,GK Hub 5,Math Wise,Math Wise,Science can be fun,Science can be fun,Science can be fun"
BPI worldwide,1,Encylopedia of questions answers
Brand Vision Pvt. Ltd.,1,Art of public relations: USP age cooectors series
Brijbasi Art Press Limited,1,Magic of strories
Britannica Learning,50,"Adventuring beyond; a course in social science,Adventuring beyond; a course in social science,Adventuring beyond: a course in social science 6,English channel: course book,English channel: literature reader,English Channel: literature reader,English channel: literature reader,English channel: practice book,Foundation of information theory,Foundation of information theory,Galaxy: a course in science,Know for sure,Know for sure 3,Know for sure 4,Knowledge generaion,Live wire interactive computer sciece,Live wire interactive computer sciece,Live wire interactive computer sciece,Live wire interactive computer sciece,Maths spark 5,Mathsight 5,Mathsight 7,Mathsight; a course in mathematics,Mathsight; a course in mathematics,Mathsight; a course in mathematics,Mathsight; a course in mathematics,Mathsight; a course in mathematics,Mathsight; a course in mathematics,Mathspark 8,MathsSight 6,New mathsight 8,Science 8,Sciencespark,Sciencespark,The English Channel,The english Channel Coursebook,The English Channel Coursebo"
Broadway Publishing House,1,Life is beautiful
Butterworth Heinemann,1,"Aircraft digital electronic and computer system: principles, operation and maintenance"
C. Jamnadas & Co.,6,"Modern Introduction to Computer Guide,Modern Practice Work in Mathematics,Modern SSC Introduction to Computers: syllabus Analysis, Theory MCQs Practicals and papers,Modern SSC Science & Technology,Modern SSC Science & Technology,Modern SSC Social Science"
C.Jamnadas & Co.,12,"Biology: Long questions answers,Modern Biology,Modern Biology,Modern Biology,Modern Chemistry,Modern Chemistry,Modern economics,Modern Numericals in Chemistry,Modern Numericals in Physics,Modern Physics: Long Questions Answers,Numericals in Physics,Physics Numericals and Question Bank"
Cambridge University Press,10,"Biology,Brainwave :a book of general knowledge 5,Cambridge Express,Cambridge Express: English for Schools,Chemistry,Fantastic Grammar 6,I.T Kids,Introductory Information Technology,Introductory Information Technology,It Kids"
CBS Publishers,4,"The New International Websters pocket business Dictionary  of the english language,The New International Websters pocket Medical Dictionary  of the english language,The New International Websters pocket Speling Dictionary  of the english language,The New International Websters pocket Thesaurus of the english language"
"CBSE, National center for financial education",11,"Financial education work book,Financial education work book,Financial education work book,Financial education work book,Financial education work book,Financial education work book,Financial education work book,Financial education work book,Financial education work book,Financial education work book,Nav anubhav 8"
CCE Edition Scholastic,1,Advanced English
Central Board of Secondary Education,3,"Interct in English : Literature Reader,Problem solving Assessment,Problem Solving Assessment"
Chancellor Press,7,"Encyclopedia of world history:  ultimate guide to world''s past,Tell me  How: answers to hundreds of questions,Tell me about : answers to hundreds of questions,Tell me about ?,Tell me What: answers to hundreds of questions,Tell me Where: answers to hundreds of questions,Tell me Why: answers to hundreds of questions"
